"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"08/18/2026","Page 6 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SIKES MILL","0.220","N","PIEDMONT SCHOOL","HAIGLER BAUCOM","SIKES MILL","999.999","","104745060","2016-05-26","21","1","0","1","O"
"558","SR 1001","0.000","","US 601","US 74","SR 1001","0.000","","108010266","2025-02-03","21","1","8","1","O"
"0","SR 1001","0.000","","US 601","SR 1504","SR 1001","0.000","","106852598","2022-02-05","19","1","8","5","O"
"0","SR 1001","0.000","","US 601","DEAD END","SR 1001","0.000","","106345655","2020-09-14","30","1","8","5","A"
"0","SR 1001","0.000","","US 601","SR 1620","SR 1001","0.000","","106219230","2020-05-05","19","2","8","5","B"
"0","SR 1001","0.000","","US 601","","SR 1001","0.000","","105752124","2019-01-23","21","2","8","5","C"
"0","SR 1001","0.000","","US 601","SR 1460","SR 1001","0.000","","105477289","2018-05-11","24","1","8","5","C"
"0","SIKES MILL","1.350","S","BAUCOM","US 601","SR 1001","0.002","","106252525","2020-06-07","19","1","8","5","O"
"558","SR 1001","0.002","N","US 601","SPRING LAKE","SR 1001","0.002","","105520586","2018-05-23","21","1","0","1","O"
"0","SR 1001","0.002","NE","US 601","SPRING LAKE","SR 1001","0.002","","105326274","2017-11-25","21","1","9","1","O"
"0","SR 1001","0.003","E","US 601","SR 1620","SR 1001","0.003","","105007511","2017-02-11","27","1","8","5","B"
"558","SR 1001","0.004","N","US 601","SR 1620","SR 1001","0.004","","107405557","2023-07-22","21","1","9","1","O"
"558","SR 1001","0.004","NE","US 601","SR 1665","SR 1001","0.004","","106020271","2019-10-08","21","1","0","1","O"
"558","SR 1001","0.005","N","US 601","SR 1620","SR 1001","0.005","","107088923","2022-09-21","21","1","8","1","O"
"0","SR 1001","0.008","N","US 601","SR 1620","SR 1001","0.008","","104867496","2016-09-30","19","1","8","5","O"
"558","SR 1001","0.010","NE","US 601","SR 1620","SR 1001","0.010","","107615459","2024-02-05","29","1","0","3","O"
"558","SIKES MILL","0.038","N","US 601","SPRING LAKE","SR 1001","0.038","","107395905","2023-07-14","19","1","0","1","O"
"0","SIKES MILL","0.740","SW","SPRING LAKE","US 601","SR 1001","0.145","","104717808","2016-04-26","21","1","12","1","O"
"558","SR 1001","0.200","N","US 601","SR 1620","SR 1001","0.200","","107643542","2024-03-02","19","1","0","2","C"
"558","SR 1001","0.230","E","US 601","SPRING LAKE","SR 1001","0.230","","108184095","2025-07-21","19","1","0","1","A"
"558","SR 1001","0.300","N","US 601","SR 1620","SR 1001","0.300","","107224114","2023-01-24","19","1","0","5","O"
"558","SR 1001","0.350","N","US 601","SR 1620","SR 1001","0.350","","105876758","2019-05-27","19","1","0","1","A"
"558","SR 1001","1.000","S","SR 1620","SPRING LAKE","SR 1001","0.352","","107943300","2024-12-01","17","1","0","5","O"
"0","SR 1001","1.000","S","SR 1620","SPRING LAKE","SR 1001","0.352","","106392203","2020-11-01","19","2","0","5","O"
"558","SR 1001","0.500","E","US 601","SPRING LAKE","SR 1001","0.500","","108339974","2025-12-02","17","2","0","1","O"
"0","SR 1001","0.500","N","US 601","SR 1620","SR 1001","0.500","","107466297","2023-09-20","29","1","0","1","C"
"558","SR 1001","0.680","N","US 601","SR 1620","SR 1001","0.680","","105741595","2019-01-14","17","1","0","3","O"
"558","SIKES MILL","0.190","S","SPRING LAKE","US 601","SR 1001","0.695","","107653448","2024-03-12","29","1","0","5","O"
"0","SR 1001","0.700","N","US 601","SR 1620","SR 1001","0.700","","108424807","2026-03-07","29","1","0","1","O"
"558","SR 1001","0.500","S","BAUCOM","US 601","SR 1001","0.852","","104938752","2016-12-06","17","1","0","5","O"
"0","SIKES MILL","0.002","S","SPRING LAKE","US 601","SR 1001","0.883","","106059402","2019-11-08","19","2","0","4","B"
"558","SR 1001","0.004","N","SPRING LAKE","SR 1620","SR 1001","0.889","","106976262","2022-06-02","19","1","0","5","C"
"08/18/2026","Page 7 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SIKES MILL","0.076","N","SPRING LAKE","BAUCOM","SR 1001","0.961","","105442537","2018-04-12","19","1","0","1","O"
"558","SR 1001","1.000","N","US 601","SR 1620","SR 1001","1.000","","107900538","2024-10-21","14","1","0","1","C"
"0","SR 1001","1.000","N","US 601","SR 1620","SR 1001","1.000","","106572928","2021-05-11","19","1","0","1","C"
"0","SIKES MILL","0.130","N","SPRING LAKE","CHANEY","SR 1001","1.015","","107715447","2024-05-07","17","1","0","5","O"
"0","SR 1001","0.190","N","SPRING LAKE","SR 1620","SR 1001","1.075","","108256185","2025-10-05","17","1","0","1","O"
"558","SIKES MILL","0.260","S","BAUCOM","US 601","SR 1001","1.092","","105898128","2019-06-13","17","1","0","5","O"
"0","SIKES MILL","1.100","N","CONCORD","BAUCOM","SR 1001","1.100","","106028073","2019-10-18","17","1","0","5","O"
"558","SR 1001","0.240","S","SR 1620","US 601","SR 1001","1.112","","108478263","2026-04-24","23","1","0","1","O"
"558","SIKES MILL","0.230","SW","BAUCOM","US 601","SR 1001","1.122","","105934391","2019-07-22","19","1","0","1","O"
"558","SIKES MILL","1.160","N","US 601","BAUCOM","SR 1001","1.160","","107470651","2023-09-19","17","1","0","5","O"
"558","SR 1001","0.100","W","SR 1620","NC 200","SR 1001","1.252","","105723366","2018-12-27","28","1","0","1","O"
"558","SIKES MILL","0.019","S","BAUCOM","SPRING LAKE","SR 1001","1.333","","106776645","2021-11-19","17","1","0","5","O"
"558","SIKES MILL","0.019","S","BAUCOM","US 601","SR 1001","1.333","","108314414","2025-11-21","21","2","0","1","O"
"558","SR 1001","0.005","S","SR 1620","SPRING LAKE","SR 1001","1.347","","105596512","2018-08-15","19","1","0","1","O"
"558","SIKES MILL","0.000","","BAUCOM","US 601","SR 1001","1.352","","107030009","2022-07-29","13","1","8","1","O"
"0","SR 1001","0.000","","SR 1620","SR 1615","SR 1001","1.352","","106971893","2022-05-28","23","1","8","1","O"
"558","SIKES MILL","0.009","N","BAUCOM","CHANEY","SR 1001","1.361","","104780506","2016-07-02","21","1","8","1","O"
"0","SR 1001","0.019","E","SR 1620","US 601","SR 1001","1.371","","106072796","2019-11-23","19","1","0","1","O"
"558","SR 1001","0.028","N","SR 1620","SR 1665","SR 1001","1.380","","108296963","2025-10-29","21","2","0","1","O"
