"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"UNIONVILLE","SR 1001","0.019","S","SR 1617","","SR 1001","3.442","","105520583","2018-06-20","19","2","0","1","O","","",""
"UNIONVILLE","SR 1001","0.002","N","US 601","SPRING LAKE","SR 1001","0.002","","105520586","2018-05-23","21","1","0","1","O","","",""
"RURAL","SR 1619","0.038","W","SR 1001","UNIONVILLE","SR 1619","0.0","","105669961","2018-11-07","17","2","0","5","O","","",""
"UNIONVILLE","SR 1618","0.0","E","SR 1001","SR 1637","SR 1618","0.0","","105670638","2018-11-09","26","2","10","5","O","","",""
"RURAL","SR 1606","5.0","N","SR 1678","SR 1613","SR 1606","0.796","","105613443","2018-09-24","22","1","5","5","C","","",""
"UNIONVILLE","SR 1618","0.008","S","SR 1606","SR 1615","SR 1618","0.0","","105669889","2018-11-07","21","1","10","1","C","","",""
"RURAL","SR 1001","0.0","","US 601","SR 1460","SR 1001","0.0","","105477289","2018-05-11","24","1","8","5","C","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1606","NC 218","9.786","","105644334","2018-10-21","19","1","7","1","O","","",""
"RURAL","NC 218","0.0","","SR 1606","SR 1547","NC 218","8.082","","105491727","2018-05-23","24","1","7","1","B","","",""
"UNIONVILLE","PVA MARATHON GAS","0.014","W","SR 1001","DEAD END","","999.999","","105790718","2019-03-02","31","1","0","1","O","","",""
"RURAL","SR 1001","0.0","","US 601","","SR 1001","0.0","","105752124","2019-01-23","21","2","8","5","C","","",""
"UNIONVILLE","SR 1681","0.0","","SR 1619","SR 1637","SR 1681","0.863","","108181659","2025-07-24","23","1","8","1","B","35.076107","-80.49293","DMV349CLEANED"
"RURAL","SR 1606","0.0","","SR 1607","SR 1547","SR 1606","1.084","","107591326","2024-01-10","24","1","7","1","C","35.15454","-80.47302","DMV349CLEANED"
"UNIONVILLE","*LCL CAR WASH PVA ","0.001","E","SR 1001","DEAD END","","999.999","","105722912","2018-12-18","31","1","0","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","105711501","2018-12-14","30","2","7","5","B","","",""
"RURAL","SR 1606","0.0","N","NEW SALEM","G B HILL","SR 1606","999.999","","105775814","2019-02-13","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.5","N","SR 1665","SR 1615","SR 1001","2.715","","108436731","2026-03-13","19","1","0","1","B","35.07","-80.51","DMV349"
"RURAL","SR 1606","0.8","S","SR 1617","SR 1615","SR 1606","999.999","","105825314","2019-04-02","19","6","0","1","B","","",""
"RURAL","SR 1606","0.5","S","SR 1619","PRESSON FARM","SR 1606","999.999","","105685420","2018-11-20","17","1","0","2","O","","",""
"UNIONVILLE","SR 1606","0.0","S","SR 1638","SR 1678","SR 1606","5.016","","105805384","2019-03-05","23","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.038","S","SR 1617","US 601","SR 1001","3.423","","105964079","2019-08-15","19","2","0","5","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 2732","NC 218","9.786","","105989915","2019-09-11","30","1","7","1","B","","",""
"FAIRVIEW","SR 1547","0.0","","SR 1606","SR 1607","SR 1547","2.101","","105954257","2019-08-08","30","1","7","1","B","","",""
