"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"WAYNE","96","4","All and Rural","","10/1/2015","9/30/2025","10.00","150"
"Road Name","Road Code"
"NC 581","30000581"
"BILL","50002677"
"SR 1960","40001960"
"SPRING BANK","50034637"
"SPRING","50028855"
"BANK","50001579"
"NC 111","30000111"
"OLD NC 111","50036308"
"SR 1727","40001727"
"DOLLARD TOWN","50037495"
"11/25/2025","Page 1 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","PVA FRIENDLY MART","0.020","W","NC 111","","","999.999","","107354123","2023-06-01","31","1","4","1","O"
"0","PVA FRIENDLY MART","0.023","NE","NC 111","SR 1784","","999.999","","104991871","2017-01-27","31","1","4","1","O"
"0","PVA FRIENDLY MART","0.025","E","NC 111","","","999.999","","106946759","2022-05-04","20","1","4","1","O"
"0","PVA FRY DADDYS","0.000","","NC 581","DEAD END","","999.999","","107605622","2024-01-25","19","2","0","5","O"
"211","PVA HANDY MART","0.003","E","NC 111","","","999.999","","104999666","2017-02-06","32","1","4","1","O"
"0","PVA J AND S GENERAL STORE","0.009","W","NC 111","SR 1956","","999.999","","105457422","2018-04-20","31","1","4","1","C"
"0","PVA JOHNN'S STORE","0.012","W","NC 111","SR 1960","","999.999","","105853512","2019-05-05","31","1","4","1","O"
"0","PVA JOHNNY'S","0.002","E","NC 111","DEAD END","","999.999","","106134638","2020-01-20","32","1","0","1","O"
"0","PVA JOHNNY'S CONVENIENCE M","0.013","N","NC 111","DEAD END","","999.999","","106634072","2021-07-08","31","2","0","1","O"
"0","PVA JOHNNYS GROCERY","0.012","W","NC 111","DEAD END","","999.999","","105036413","2017-03-09","31","1","4","1","O"
"0","PVA JOHNNYS GROCERY","0.019","S","SR 1960","DEAD END","","999.999","","105790553","2019-02-25","20","1","4","1","O"
"0","PVA KANGAROO","0.016","S","NC 581","","","999.999","","105711269","2018-12-11","31","2","4","4",""
"0","PVA MARATHON","0.009","W","NC 111","SR 1962","","999.999","","106140245","2020-01-28","31","1","0","1","O"
"0","PVA MARATHON","0.013","W","NC 111","SR 1962","","999.999","","107206006","2022-12-31","32","2","4","4",""
"0","PVA MARATHON","0.014","W","NC 111","","","999.999","","106516230","2021-03-11","31","1","4","1","O"
"0","PVA MARATHON","0.015","E","NC 111","DEAD END","","999.999","","106704603","2021-09-18","31","1","0","1","O"
"0","PVA MARATHON","0.015","W","NC 111","SR 1960","","999.999","","107659232","2024-03-14","31","1","4","1","O"
"0","PVA MARATHON","0.015","W","NC 111","","","999.999","","107305471","2023-04-13","31","1","4","1","O"
"0","PVA MARATHON","0.015","W","NC 111","DEAD END","","999.999","","106653752","2021-08-03","31","1","4","1","O"
"0","PVA MARATHON","0.015","W","NC 111","SR 1962","","999.999","","104786343","2016-07-10","20","1","0","1","O"
"0","PVA MARATHON","0.019","W","NC 111","","","999.999","","106511469","2021-03-06","31","1","4","5","O"
"0","PVA MARATHON","0.019","W","NC 111","SR 1962","","999.999","","105342754","2018-01-05","20","4","0","4","C"
"0","PVA MARATHON","0.021","W","NC 111","","","999.999","","105917152","2019-07-06","20","1","4","1","O"
"0","PVA MARATHON","0.022","W","NC 111","SR 1961","","999.999","","106231444","2020-05-20","31","2","4","1","O"
"0","PVA MARATHON","0.024","W","NC 111","DEAD END","","999.999","","106729333","2021-10-04","31","1","4","1","O"
"0","PVA MARATHON GAS STATION","0.004","W","NC 111","SR 1961","","999.999","","106582358","2021-05-23","31","1","4","1","O"
"0","PVA MINUTEMAN FOOD MART","0.019","E","NC 111","NC 55","","999.999","","107269220","2023-03-11","19","1","4","1",""
"211","PVA MOLLIE DR","0.009","E","NC 111","","","999.999","","106502524","2021-01-19","30","1","","1",""
"11/25/2025","Page 8 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"211","PVA N 103 NC 581 HWY","0.014","W","NC 581","","","999.999","","106073927","2019-11-04","20","1","0","1","O"
"0","PVA NORTH EAST ELEMENTARY","0.015","W","NC 111","","","999.999","","104712875","2016-04-18","31","1","4","1","O"
"0","PVA NORTH EAST ELEMENTARY","0.017","W","NC 111","","","999.999","","106095925","2019-12-10","31","1","4","1","C"
"0","PVA OLD GENERAL STORE","0.019","N","NC 581","","","999.999","","106076122","2019-11-21","20","1","4","1","O"
"0","PVA PIRATES COVE CARWASH","0.015","W","NC 111","DEAD END","","999.999","","107697921","2024-04-17","19","1","0","1","B"
