"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"JOHNSTON","51","4","All and Rural","","12/1/2013","5/31/2026","12.50","0"
"Road Name","Road Code"
"SR 1003","40001003"
"BUFFALO","50004182"
"WENDELL","50032464"
"LAKE WENDELL","50016884"
"SR 1701","40001701"
"EAGLE ROCK","50009137"
"SR 2638","40002638"
"SR 1716","40001716"
"07/14/2026","Page 1 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"502","SR 1003","0.250","N","HOLLAND","HOSPITAL","SR 1003","1.435","","105031105","2017-03-01","17","1","0","5","C"
"502","BUFFALO","0.210","N","PARKWAY","DURWOOD STEPHENSON","SR 1003","1.511","","107960083","2024-11-25","17","1","0","4","O"
"502","SR 1003","0.095","S","SR 1923","EVERETT","SR 1003","1.519","","104322589","2015-03-09","1","1","0","1","O"
"502","SR 1003","0.076","S","BOOKER DAIRY","PARKWAY","SR 1003","1.538","","106152654","2019-12-20","17","1","0","4","O"
"502","SR 1003","0.047","S","SR 1923","EVERETT","SR 1003","1.567","","106036327","2019-10-14","21","1","0","1","O"
"502","SR 1003","0.038","S","SR 1923","EVERETT","SR 1003","1.576","","105675444","2018-11-10","17","1","0","4","O"
"502","SR 1003","0.019","S","DURWOOD STEPHENSON","EVERETT","SR 1003","1.595","","104700732","2016-03-15","23","1","0","1","C"
"502","SR 1003","0.010","S","SR 1923","","SR 1003","1.604","","105664513","2018-10-27","1","2","7","1","C"
"502","BUFFALO","0.005","S","BOOKER DAIRY","EVERETT","SR 1003","1.609","","104546620","2015-10-28","21","2","7","5","C"
"502","SR 1003","0.004","S","DURWOOD STEPHENSON","PARKWAY","SR 1003","1.610","","108125327","2025-05-13","21","1","7","1","O"
"502","SR 1003","0.004","S","SR 1923","PARKWAY","SR 1003","1.610","","105720728","2018-11-30","21","1","7","1","O"
"502","SR 1003","0.001","S","SR 1923","HOSPITAL","SR 1003","1.613","","107665122","2024-03-01","28","1","0","1","O"
"502","SR 1003","0.001","S","SR 1923","*LCL EVER LN ","SR 1003","1.613","","105382984","2018-02-02","21","1","7","1","O"
"502","BUFFALO","0.000","","BOOKER DAIRY","","SR 1003","1.614","","104743030","2016-05-18","30","2","0","1","O"
"502","BUFFALO","0.000","","BOOKER DAIRY","","SR 1003","1.614","","104048428","2014-04-21","30","1","7","1","O"
"502","PVA SR 1003","0.000","","SR 1923","US 70","SR 1003","1.614","","104430465","2015-07-09","14","1","7","4","C"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","KELLY","SR 1003","1.614","","107495321","2023-09-18","25","1","7","1","O"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","PARKWAY","SR 1003","1.614","","106877375","2021-12-31","30","1","7","1","C"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","STURGEON","SR 1003","1.614","","106636775","2021-05-19","23","1","7","4","C"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","","SR 1003","1.614","","106367394","2020-09-21","24","1","7","1","C"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","STURGEON","SR 1003","1.614","","108355607","2025-12-20","30","1","7","1","O"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","","SR 1003","1.614","","106611321","2021-05-04","30","1","7","1","O"
"07/14/2026","Page 7 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"502","SR 1003","0.000","","DURWOOD STEPHENSON","STURGEON","SR 1003","1.614","","107249096","2023-02-07","21","1","7","1","O"
"502","SR 1003","0.000","","SR 1923","","SR 1003","1.614","","105236219","2017-09-16","24","1","","1","O"
"502","SR 1003","0.000","","SR 1923","","SR 1003","1.614","","104700739","2016-03-26","30","1","7","1","O"
"502","SR 1003","0.000","","SR 1923","DURWOOD STEPHENSON","SR 1003","1.614","","104183724","2014-09-28","30","1","7","1","B"
"502","SR 1003","0.000","","SR 1923","","SR 1003","1.614","","105452311","2018-04-12","30","1","","1","C"
"502","SR 1003","0.000","","SR 1923","EASON","SR 1003","1.614","","105444277","2018-03-28","21","1","7","1","O"
"502","SR 1003","0.000","","SR 1923","STURGEON","SR 1003","1.614","","107476798","2023-09-08","30","1","7","1","B"
"502","SR 1003","0.000","","SR 1923","","SR 1003","1.614","","104279551","2015-01-09","21","1","7","1","O"
"502","SR 1003","0.000","","SR 1923","STURGEON","SR 1003","1.614","","107355181","2023-05-16","21","1","","1","O"
"502","SR 1003","0.000","","SR 1923","PARKWAY","SR 1003","1.614","","106228156","2020-03-18","30","1","7","1","C"
"502","SR 1003","0.000","","SR 1923","","SR 1003","1.614","","106391315","2020-10-20","24","1","7","1","O"
"502","SR 1003","0.000","","SR 1923","PARKWAY","SR 1003","1.614","","106895629","2022-01-18","24","1","7","3","O"
